datetime,duration,unit,consumption,generation
2023-06-01T00:00:00-05:00,900,Wh,758,0
2023-06-01T00:15:00-05:00,900,Wh,305,0
2023-06-01T00:30:00-05:00,900,Wh,271,0
2023-06-01T00:45:00-05:00,900,Wh,262,0
2023-06-01T01:00:00-05:00,900,Wh,238,0
2023-06-01T01:15:00-05:00,900,Wh,276,0
2023-06-01T01:30:00-05:00,900,Wh,228,0
2023-06-01T01:45:00-05:00,900,Wh,1016,0
2023-06-01T02:00:00-05:00,900,Wh,1202,0
2023-06-01T02:15:00-05:00,900,Wh,1168,0
2023-06-01T02:30:00-05:00,900,Wh,245,0
2023-06-01T02:45:00-05:00,900,Wh,253,0
2023-06-01T03:00:00-05:00,900,Wh,248,0
2023-06-01T03:15:00-05:00,900,Wh,235,0
2023-06-01T03:30:00-05:00,900,Wh,610,0
2023-06-01T03:45:00-05:00,900,Wh,1174,0
2023-06-01T04:00:00-05:00,900,Wh,1163,0
2023-06-01T04:15:00-05:00,900,Wh,672,0
2023-06-01T04:30:00-05:00,900,Wh,214,0
2023-06-01T04:45:00-05:00,900,Wh,212,0
2023-06-01T05:00:00-05:00,900,Wh,199,0
2023-06-01T05:15:00-05:00,900,Wh,239,0
2023-06-01T05:30:00-05:00,900,Wh,224,0
2023-06-01T05:45:00-05:00,900,Wh,276,0
2023-06-01T06:00:00-05:00,900,Wh,205,0
2023-06-01T06:15:00-05:00,900,Wh,223,0
2023-06-01T06:30:00-05:00,900,Wh,228,0
2023-06-01T06:45:00-05:00,900,Wh,218,0
2023-06-01T07:00:00-05:00,900,Wh,214,0
2023-06-01T07:15:00-05:00,900,Wh,265,0
2023-06-01T07:30:00-05:00,900,Wh,323,0
2023-06-01T07:45:00-05:00,900,Wh,226,0
2023-06-01T08:00:00-05:00,900,Wh,192,0
2023-06-01T08:15:00-05:00,900,Wh,220,0
2023-06-01T08:30:00-05:00,900,Wh,215,0
2023-06-01T08:45:00-05:00,900,Wh,254,0
2023-06-01T09:00:00-05:00,900,Wh,235,0
2023-06-01T09:15:00-05:00,900,Wh,218,0
2023-06-01T09:30:00-05:00,900,Wh,274,0
2023-06-01T09:45:00-05:00,900,Wh,361,0
2023-06-01T10:00:00-05:00,900,Wh,257,0
2023-06-01T10:15:00-05:00,900,Wh,328,0
2023-06-01T10:30:00-05:00,900,Wh,388,0
2023-06-01T10:45:00-05:00,900,Wh,416,0
2023-06-01T11:00:00-05:00,900,Wh,350,0
2023-06-01T11:15:00-05:00,900,Wh,372,0
2023-06-01T11:30:00-05:00,900,Wh,368,0
2023-06-01T11:45:00-05:00,900,Wh,382,0
2023-06-01T12:00:00-05:00,900,Wh,395,0
2023-06-01T12:15:00-05:00,900,Wh,409,0
2023-06-01T12:30:00-05:00,900,Wh,455,0
2023-06-01T12:45:00-05:00,900,Wh,450,0
2023-06-01T13:00:00-05:00,900,Wh,454,0
2023-06-01T13:15:00-05:00,900,Wh,458,0
2023-06-01T13:30:00-05:00,900,Wh,491,0
2023-06-01T13:45:00-05:00,900,Wh,528,0
2023-06-01T14:00:00-05:00,900,Wh,492,0
2023-06-01T14:15:00-05:00,900,Wh,488,0
2023-06-01T14:30:00-05:00,900,Wh,497,0
2023-06-01T14:45:00-05:00,900,Wh,492,0
2023-06-01T15:00:00-05:00,900,Wh,485,0
2023-06-01T15:15:00-05:00,900,Wh,523,0
2023-06-01T15:30:00-05:00,900,Wh,530,0
2023-06-01T15:45:00-05:00,900,Wh,523,0
2023-06-01T16:00:00-05:00,900,Wh,515,0
2023-06-01T16:15:00-05:00,900,Wh,529,0
2023-06-01T16:30:00-05:00,900,Wh,526,0
2023-06-01T16:45:00-05:00,900,Wh,512,0
2023-06-01T17:00:00-05:00,900,Wh,503,0
2023-06-01T17:15:00-05:00,900,Wh,490,0
2023-06-01T17:30:00-05:00,900,Wh,720,0
2023-06-01T17:45:00-05:00,900,Wh,1630,0
2023-06-01T18:00:00-05:00,900,Wh,1625,0
2023-06-01T18:15:00-05:00,900,Wh,1590,0
2023-06-01T18:30:00-05:00,900,Wh,1598,0
2023-06-01T18:45:00-05:00,900,Wh,1135,0
2023-06-01T19:00:00-05:00,900,Wh,1582,0
2023-06-01T19:15:00-05:00,900,Wh,1554,0
2023-06-01T19:30:00-05:00,900,Wh,1522,0
2023-06-01T19:45:00-05:00,900,Wh,1458,0
2023-06-01T20:00:00-05:00,900,Wh,1366,0
2023-06-01T20:15:00-05:00,900,Wh,1355,0
2023-06-01T20:30:00-05:00,900,Wh,1344,0
2023-06-01T20:45:00-05:00,900,Wh,1346,0
2023-06-01T21:00:00-05:00,900,Wh,1334,0
2023-06-01T21:15:00-05:00,900,Wh,1310,0
2023-06-01T21:30:00-05:00,900,Wh,1300,0
2023-06-01T21:45:00-05:00,900,Wh,1314,0
2023-06-01T22:00:00-05:00,900,Wh,1289,0
2023-06-01T22:15:00-05:00,900,Wh,1291,0
2023-06-01T22:30:00-05:00,900,Wh,1124,0
2023-06-01T22:45:00-05:00,900,Wh,316,0
2023-06-01T23:00:00-05:00,900,Wh,305,0
2023-06-01T23:15:00-05:00,900,Wh,626,0
2023-06-01T23:30:00-05:00,900,Wh,1232,0
2023-06-01T23:45:00-05:00,900,Wh,1204,0
2023-06-02T00:00:00-05:00,900,Wh,422,0
2023-06-02T00:15:00-05:00,900,Wh,246,0
2023-06-02T00:30:00-05:00,900,Wh,318,0
2023-06-02T00:45:00-05:00,900,Wh,284,0
2023-06-02T01:00:00-05:00,900,Wh,263,0
2023-06-02T01:15:00-05:00,900,Wh,612,0
2023-06-02T01:30:00-05:00,900,Wh,1241,0
2023-06-02T01:45:00-05:00,900,Wh,1208,0
2023-06-02T02:00:00-05:00,900,Wh,1111,0
2023-06-02T02:15:00-05:00,900,Wh,270,0
2023-06-02T02:30:00-05:00,900,Wh,234,0
2023-06-02T02:45:00-05:00,900,Wh,240,0
2023-06-02T03:00:00-05:00,900,Wh,284,0
2023-06-02T03:15:00-05:00,900,Wh,216,0
2023-06-02T03:30:00-05:00,900,Wh,202,0
2023-06-02T03:45:00-05:00,900,Wh,251,0
2023-06-02T04:00:00-05:00,900,Wh,214,0
2023-06-02T04:15:00-05:00,900,Wh,200,0
2023-06-02T04:30:00-05:00,900,Wh,1176,0
2023-06-02T04:45:00-05:00,900,Wh,1212,0
2023-06-02T05:00:00-05:00,900,Wh,1188,0
2023-06-02T05:15:00-05:00,900,Wh,223,0
2023-06-02T05:30:00-05:00,900,Wh,244,0
2023-06-02T05:45:00-05:00,900,Wh,218,0
2023-06-02T06:00:00-05:00,900,Wh,199,0
2023-06-02T06:15:00-05:00,900,Wh,190,0
2023-06-02T06:30:00-05:00,900,Wh,200,0
2023-06-02T06:45:00-05:00,900,Wh,186,0
2023-06-02T07:00:00-05:00,900,Wh,173,0
2023-06-02T07:15:00-05:00,900,Wh,211,0
2023-06-02T07:30:00-05:00,900,Wh,224,0
2023-06-02T07:45:00-05:00,900,Wh,212,0
2023-06-02T08:00:00-05:00,900,Wh,223,0
2023-06-02T08:15:00-05:00,900,Wh,229,0
2023-06-02T08:30:00-05:00,900,Wh,258,0
2023-06-02T08:45:00-05:00,900,Wh,217,0
2023-06-02T09:00:00-05:00,900,Wh,242,0
2023-06-02T09:15:00-05:00,900,Wh,242,0
